,brand,price,CPU,Ram,ROM,display_size,OS,warranty,GPU_encoded,Processor_encoded
620,5,66990,19,16,1000,15.6,0,1,9,70
621,5,74990,24,16,1000,15.6,0,1,9,90
622,0,26990,17,8,512,15.6,10,1,11,77
623,4,65990,1,8,1000,15.6,0,1,7,63
624,5,87990,2,16,1000,16.0,0,1,9,24
625,4,36480,17,8,512,15.6,0,1,1,2
626,4,63989,1,8,1000,15.6,0,1,110,63
627,5,90990,12,16,1000,15.6,11,1,9,37
628,5,104990,2,16,512,16.0,0,1,111,24
629,0,64800,1,8,512,14.0,3,1,35,35
630,5,27990,16,4,64,14.0,6,1,7,89
631,5,14990,16,4,128,14.0,6,1,7,89
632,5,22990,16,4,64,15.6,6,1,7,89
633,5,23990,16,4,128,15.6,6,1,7,89
634,0,42900,18,8,512,15.6,0,1,35,1
635,22,130000,2,16,512,16.0,0,0,28,38
636,22,94990,6,8,512,15.6,0,2,28,6
637,2,57990,24,16,512,15.6,0,1,16,136
638,5,104222,2,16,512,16.0,0,1,98,24
639,25,69990,1,16,512,14.0,0,2,2,63
640,2,63990,24,16,512,14.0,0,1,112,34
641,2,48990,28,8,512,15.6,0,1,49,96
642,2,46990,1,8,512,15.6,3,1,7,35
643,0,55990,19,8,512,15.6,0,1,12,55
644,5,66990,22,16,512,16.0,0,1,9,13
645,5,89990,22,16,512,16.0,0,1,98,13
646,9,62990,19,16,512,15.6,0,2,9,98
647,9,85990,2,16,512,15.6,0,2,24,24
648,2,47100,18,8,512,15.6,0,1,1,1
649,2,91990,24,16,512,14.0,0,1,11,67
650,5,67990,19,16,512,15.6,0,1,113,0
651,1,39990,19,16,512,14.0,0,1,16,18
652,1,36990,19,8,512,14.0,0,1,16,18
653,5,33990,28,8,512,14.0,0,1,16,10
654,2,43800,28,8,512,14.0,3,1,25,16
655,0,179490,24,32,1000,16.1,0,1,18,152
656,22,164990,8,16,1000,14.0,0,2,5,87
657,4,84990,1,16,1000,14.0,0,1,2,21
658,25,104990,6,16,1000,14.0,0,2,2,153
659,5,57990,19,16,512,15.6,0,1,12,46
660,0,58990,19,8,512,15.6,0,1,12,55
661,4,304990,8,32,1000,15.6,0,1,21,154
663,7,28990,28,8,512,14.1,0,1,108,155
664,1,39900,25,8,512,14.0,0,1,1,20
665,2,36490,17,8,512,15.6,0,1,7,2
666,2,87490,2,16,512,14.0,0,1,7,38
667,4,44990,15,8,1000,15.6,0,1,7,68
668,2,107990,6,16,512,14.0,0,1,2,39
669,4,46900,28,8,1000,15.6,0,1,11,95
670,4,98890,6,16,1000,13.3,0,1,2,39
671,4,76990,1,8,1000,14.0,0,1,2,63
672,4,86990,6,16,1000,13.3,0,1,2,25
673,4,86990,1,16,1000,14.0,0,1,2,63
674,4,58490,1,8,512,14.0,0,1,2,63
675,0,69199,19,16,512,15.6,0,1,9,0
676,9,45990,19,8,512,15.6,0,2,13,46
677,9,94990,2,16,512,15.6,0,2,28,24
678,9,97990,2,8,1000,17.3,0,2,28,24
679,9,179990,8,16,1000,17.3,0,2,18,12
680,9,125990,8,8,1000,17.3,0,2,28,87
681,0,116463,6,16,512,15.6,0,1,5,44
683,0,153625,8,16,512,16.1,0,1,5,99
684,0,270129,14,32,1000,16.1,0,1,18,23
685,22,149990,6,16,1000,15.6,11,2,18,6
686,2,58990,19,16,512,14.0,0,1,112,76
687,0,107190,1,16,512,13.3,0,1,3,150
688,16,32999,28,16,512,15.6,0,1,1,156
689,0,102090,22,16,512,16.1,0,1,5,5
690,0,231746,1,16,512,13.5,0,1,2,157
691,5,81990,2,16,512,16.0,0,1,9,24
692,4,36890,17,8,512,15.6,0,1,1,2
693,2,87990,22,16,512,15.6,0,1,5,13
694,0,77990,1,16,512,14.0,0,1,3,63
695,22,117574,6,8,512,15.6,0,2,28,6
696,2,97990,24,16,512,15.6,0,1,5,43
697,9,284990,14,32,1000,16.0,0,2,72,28
698,9,344990,14,32,2000,17.0,0,2,26,28
699,0,146599,10,16,1000,16.1,0,1,28,74
700,1,44990,28,8,512,15.6,0,1,114,29
701,2,57990,19,16,512,14.0,0,1,11,76
702,0,128599,24,16,512,16.0,0,1,28,43
703,5,21990,16,4,256,15.6,0,1,63,158
704,0,151990,10,16,512,16.1,0,1,28,74
705,10,52990,28,16,1000,15.6,0,1,3,159
706,2,119888,28,16,1000,14.0,4,1,35,33
707,0,22990,16,4,256,15.6,0,1,17,160
708,2,76888,19,16,512,13.3,0,1,11,76
709,4,256990,8,16,1000,15.6,0,1,115,87
710,4,83090,6,16,512,13.3,0,1,2,25
711,4,67999,28,16,512,15.6,0,1,114,69
712,1,96256,8,16,512,15.6,0,1,9,31
713,9,77990,6,16,512,14.0,0,1,3,3
714,4,323290,14,32,1000,16.0,0,1,72,23
715,4,67990,24,16,512,14.0,0,1,45,161
716,9,82990,6,8,512,13.3,0,2,3,3
717,4,199990,24,16,1000,16.0,0,1,116,162
718,22,189999,8,16,1000,16.0,11,2,78,31
